,frame,color,hex
598,461,"(33, 40, 36)",#212824
542,462,"(53, 45, 42)",#352d2a
546,463,"(53, 45, 42)",#352d2a
656,464,"(53, 45, 42)",#352d2a
662,465,"(53, 45, 42)",#352d2a
718,466,"(53, 45, 42)",#352d2a
716,467,"(53, 45, 42)",#352d2a
359,468,"(53, 45, 42)",#352d2a
360,469,"(53, 45, 42)",#352d2a
659,470,"(52, 44, 42)",#342c2a
661,471,"(52, 58, 61)",#343a3d
719,472,"(52, 58, 61)",#343a3d
713,473,"(52, 58, 61)",#343a3d
603,474,"(52, 58, 61)",#343a3d
599,475,"(52, 58, 61)",#343a3d
541,476,"(52, 58, 61)",#343a3d
549,477,"(52, 58, 61)",#343a3d
426,478,"(52, 58, 61)",#343a3d
417,479,"(52, 58, 61)",#343a3d
291,480,"(4, 4, 4)",#040404
302,481,"(4, 4, 4)",#040404
366,482,"(4, 4, 4)",#040404
353,483,"(4, 4, 4)",#040404
490,484,"(4, 4, 4)",#040404
479,485,"(4, 4, 4)",#040404
415,486,"(4, 4, 4)",#040404
428,487,"(4, 4, 4)",#040404
550,488,"(4, 4, 4)",#040404
539,489,"(4, 4, 4)",#040404
491,490,"(4, 4, 4)",#040404
478,491,"(4, 4, 4)",#040404
416,492,"(4, 4, 4)",#040404
427,493,"(4, 4, 4)",#040404
290,494,"(4, 4, 4)",#040404
303,495,"(4, 4, 4)",#040404
365,496,"(4, 4, 4)",#040404
354,497,"(4, 4, 4)",#040404
711,498,"(5, 5, 5)",#050505
722,499,"(7, 6, 6)",#070606
626,500,"(8, 8, 7)",#080807
576,501,"(9, 8, 8)",#090808
518,502,"(11, 11, 9)",#0b0b09
572,503,"(12, 12, 10)",#0c0c0a
636,504,"(14, 13, 13)",#0e0d0d
684,505,"(16, 16, 14)",#10100e
742,506,"(17, 17, 15)",#11110f
690,507,"(19, 18, 17)",#131211
335,508,"(20, 19, 17)",#141311
384,509,"(21, 21, 19)",#151513
633,510,"(22, 22, 19)",#161613
685,511,"(22, 22, 19)",#161613
741,512,"(22, 22, 19)",#161613
693,513,"(22, 22, 20)",#161614
629,514,"(22, 22, 19)",#161613
575,515,"(22, 22, 19)",#161613
519,516,"(22, 22, 19)",#161613
569,517,"(22, 22, 19)",#161613
450,518,"(22, 22, 19)",#161613
393,519,"(22, 21, 19)",#161513
333,520,"(22, 21, 19)",#161513
385,521,"(22, 21, 19)",#161513
326,522,"(22, 21, 19)",#161513
268,523,"(22, 21, 19)",#161513
447,524,"(22, 21, 19)",#161513
397,525,"(22, 21, 19)",#161513
456,526,"(22, 21, 19)",#161513
512,527,"(22, 21, 19)",#161513
625,528,"(22, 21, 19)",#161513
578,529,"(22, 21, 19)",#161513
448,530,"(22, 21, 19)",#161513
394,531,"(22, 21, 19)",#161513
