,frame,color,hex
2079,239,"(37, 28, 26)",#251c1a
1084,240,"(37, 29, 26)",#251d1a
1205,241,"(37, 29, 26)",#251d1a
1050,242,"(37, 29, 26)",#251d1a
940,243,"(37, 29, 26)",#251d1a
769,244,"(37, 29, 26)",#251d1a
636,245,"(37, 29, 26)",#251d1a
792,246,"(37, 29, 26)",#251d1a
913,247,"(37, 29, 26)",#251d1a
1791,248,"(38, 29, 27)",#261d1b
1663,249,"(38, 29, 27)",#261d1b
766,250,"(37, 28, 26)",#251c1a
643,251,"(37, 28, 26)",#251c1a
786,252,"(37, 28, 26)",#251c1a
914,253,"(37, 28, 26)",#251c1a
1087,254,"(37, 28, 26)",#251c1a
1198,255,"(37, 28, 26)",#251c1a
1056,256,"(37, 28, 26)",#251c1a
939,257,"(37, 28, 26)",#251c1a
1232,258,"(37, 28, 26)",#251c1a
1348,259,"(37, 28, 26)",#251c1a
1789,260,"(37, 28, 26)",#251c1a
1668,261,"(71, 53, 49)",#473531
1523,262,"(75, 56, 52)",#4b3834
1636,263,"(76, 57, 53)",#4c3935
1225,264,"(89, 68, 63)",#59443f
1354,265,"(71, 52, 48)",#473430
1496,266,"(73, 54, 50)",#493632
1377,267,"(88, 67, 62)",#58433e
1079,268,"(76, 57, 53)",#4c3935
1206,269,"(72, 53, 50)",#483532
1230,270,"(76, 56, 53)",#4c3835
1353,271,"(76, 56, 53)",#4c3835
1499,272,"(76, 56, 53)",#4c3835
1368,273,"(76, 56, 53)",#4c3835
1784,274,"(76, 56, 53)",#4c3835
1669,275,"(76, 56, 53)",#4c3835
1520,276,"(76, 57, 53)",#4c3935
1645,277,"(76, 57, 53)",#4c3935
761,278,"(83, 65, 61)",#53413d
644,279,"(99, 80, 75)",#63504b
929,280,"(109, 92, 87)",#6d5c57
1064,281,"(118, 102, 96)",#766660
1214,282,"(127, 112, 105)",#7f7069
1074,283,"(136, 121, 115)",#887973
923,284,"(145, 131, 124)",#91837c
781,285,"(154, 141, 133)",#9a8d85
628,286,"(163, 151, 143)",#a3978f
779,287,"(172, 160, 153)",#aca099
1654,288,"(181, 170, 162)",#b5aaa2
1510,289,"(189, 179, 171)",#bdb3ab
924,290,"(189, 179, 171)",#bdb3ab
780,291,"(189, 179, 170)",#bdb3aa
630,292,"(189, 179, 170)",#bdb3aa
778,293,"(188, 178, 170)",#bcb2aa
928,294,"(188, 178, 170)",#bcb2aa
1065,295,"(187, 178, 169)",#bbb2a9
1212,296,"(187, 177, 169)",#bbb1a9
1075,297,"(187, 177, 169)",#bbb1a9
1367,298,"(186, 177, 168)",#bab1a8
1505,299,"(186, 176, 168)",#bab0a8
1728,300,"(186, 176, 168)",#bab0a8
1725,301,"(185, 176, 167)",#b9b0a7
1577,302,"(185, 175, 167)",#b9afa7
1589,303,"(185, 175, 167)",#b9afa7
1286,304,"(184, 174, 166)",#b8aea6
1297,305,"(184, 174, 166)",#b8aea6
1445,306,"(183, 174, 166)",#b7aea6
1424,307,"(183, 173, 165)",#b7ada5
1133,308,"(183, 173, 165)",#b7ada5
1155,309,"(183, 173, 165)",#b7ada5
1279,310,"(183, 173, 165)",#b7ada5
1300,311,"(182, 172, 165)",#b6aca5
1444,312,"(182, 172, 165)",#b6aca5
1430,313,"(182, 172, 164)",#b6aca4
1735,314,"(182, 172, 164)",#b6aca4
1722,315,"(181, 172, 164)",#b5aca4
1578,316,"(181, 172, 164)",#b5aca4
1583,317,"(181, 171, 164)",#b5aba4
705,318,"(181, 171, 164)",#b5aba4
703,319,"(181, 171, 163)",#b5aba3
1140,320,"(181, 171, 164)",#b5aba4
1145,321,"(180, 171, 163)",#b4aba3
1005,322,"(181, 171, 163)",#b5aba3
991,323,"(180, 171, 163)",#b4aba3
711,324,"(180, 171, 163)",#b4aba3
698,325,"(180, 170, 163)",#b4aaa3
839,326,"(180, 170, 163)",#b4aaa3
862,327,"(180, 170, 163)",#b4aaa3
1739,328,"(180, 170, 163)",#b4aaa3
1717,329,"(180, 170, 163)",#b4aaa3
712,330,"(180, 170, 163)",#b4aaa3
693,331,"(180, 170, 163)",#b4aaa3
847,332,"(180, 170, 163)",#b4aaa3
859,333,"(180, 170, 163)",#b4aaa3
1139,334,"(180, 170, 163)",#b4aaa3
1150,335,"(180, 170, 163)",#b4aaa3
997,336,"(180, 170, 163)",#b4aaa3
994,337,"(180, 170, 163)",#b4aaa3
1290,338,"(180, 170, 163)",#b4aaa3
1292,339,"(180, 170, 163)",#b4aaa3
387,340,"(180, 170, 163)",#b4aaa3
398,341,"(180, 170, 163)",#b4aaa3
554,342,"(180, 171, 163)",#b4aba3
550,343,"(180, 171, 163)",#b4aba3
246,344,"(180, 171, 163)",#b4aba3
223,345,"(180, 171, 163)",#b4aba3
68,346,"(180, 171, 163)",#b4aba3
83,347,"(180, 171, 164)",#b4aba4
2180,348,"(31, 29, 32)",#1f1d20
2162,349,"(31, 29, 32)",#1f1d20
241,350,"(31, 29, 32)",#1f1d20
224,351,"(31, 29, 32)",#1f1d20
65,352,"(31, 29, 32)",#1f1d20
91,353,"(31, 29, 32)",#1f1d20
392,354,"(31, 29, 32)",#1f1d20
397,355,"(31, 29, 32)",#1f1d20
557,356,"(31, 29, 32)",#1f1d20
